#DUMP_OFFSET.I,ELAPSED_USECS.D,ELAPSED_TICKS.I,CMD.S,INFLIGHT_IOS.I,TS.I,SEQID.I,LUN_SSID.I,OP.I,PHASE.I,LBA.I,NBLKS.I,LATENCY_TICKS.I,HOST_ID.I,HOST_LUN.I,LATENCY_USECS.D
3619560,81721982.366,174340229020,WR_IN,0,30736998237802032,1483333842,1,1,0,3123406728,112,359040,6,1,168.300
3619588,81722075.848,174340428448,WR_IN,1,30736998238001460,1483333843,1,1,0,3147203080,112,301172,6,1,141.174
3619672,81722286.472,174340877780,WR_IN,0,30736998238450792,1483333844,1,1,0,3123673880,240,566432,6,1,265.515
3619728,81722625.418,174341600864,WR_IN,0,30736998239173876,1483333845,1,1,0,3132589296,88,292648,6,1,137.179
3619756,81722626.025,174341602160,WR_IN,1,30736998239175172,1483333846,1,1,0,3132589888,24,241832,6,1,113.359
3619840,81723214.333,174342857216,WR_IN,0,30736998240430228,1483333847,1,1,0,3143689208,16,158084,6,1,74.102
3619868,81723224.400,174342878692,WR_IN,1,30736998240451704,1483333848,1,1,0,3144293440,96,268832,6,1,126.015
3619952,81723840.545,174344193136,WR_IN,0,30736998241766148,1483333849,1,1,0,3123546672,112,302740,6,1,141.909
3620008,81724442.115,174345476484,WR_IN,0,30736998243049496,1483333850,1,1,0,3123546560,112,300460,6,1,140.841
3620064,81725297.651,174347301628,WR_IN,0,30736998244874640,1483333851,1,1,0,3143688984,112,339300,6,1,159.047
3620120,81725881.781,174348547772,WR_IN,0,30736998246120784,1483333852,1,1,0,3123546784,112,297900,6,1,139.641
3620176,81728026.406,174353122972,WR_IN,0,30736998250695984,1483333853,1,1,0,3148168032,16,120560,6,1,56.513
3620204,81728035.462,174353142292,WR_IN,1,30736998250715304,1483333854,1,1,0,3149710656,96,269276,6,1,126.223
3620288,81728577.898,174354299488,WR_IN,0,30736998251872500,1483333855,1,1,0,2254432080,40,164416,6,1,77.070
3620344,81728760.692,174354689448,WR_IN,0,30736998252262460,1483333856,1,1,0,2254432120,8,121332,6,1,56.874
3620400,81728979.333,174355155884,WR_IN,0,30736998252728896,1483333857,1,1,0,3143361920,112,314924,6,1,147.621
